checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,present_employment_since,installment_rate,personal_status_sex,other_debtors,present_residence_since,property,age,other_installment_plans,housing,num_existing_credits,job,num_dependents,telephone,foreign_worker,credit_risk
< 0 DM,6,Cuenta crítica / Otros créditos,Auto (nuevo),1361,< 100 DM,< 1 año,2,Hombre: soltero,Ninguno,4,Bienes raíces,40,Ninguno,Propia,1,No calificado - residente,2,No,No,Buen Pagador
Sin cuenta,36,Cuenta crítica / Otros créditos,Muebles/Equipo,7127,< 100 DM,< 1 año,2,Mujer: divorciada/separada/casada,Ninguno,4,Seguro de vida / Ahorro para vivienda,23,Ninguno,Alquiler,2,Empleado calificado / oficial,1,Sí,Sí,Mal Pagador
< 0 DM,6,Créditos existentes pagados hasta ahora,Auto (nuevo),1203,100 - 500 DM,>= 7 años,3,Hombre: soltero,Ninguno,2,Seguro de vida / Ahorro para vivienda,43,Ninguno,Propia,1,Empleado calificado / oficial,1,Sí,Sí,Buen Pagador
Sin cuenta,6,Cuenta crítica / Otros créditos,Radio/TV,700,Desconocido / Sin ahorros,>= 7 años,4,Hombre: soltero,Ninguno,4,Desconocido / Sin propiedad,36,Ninguno,Gratis,2,Empleado calificado / oficial,1,No,Sí,Buen Pagador
Sin cuenta,24,Cuenta crítica / Otros créditos,Reparaciones,5507,< 100 DM,>= 7 años,3,Hombre: soltero,Ninguno,4,Desconocido / Sin propiedad,44,Ninguno,Gratis,2,Empleado calificado / oficial,1,No,Sí,Buen Pagador
< 0 DM,18,Créditos existentes pagados hasta ahora,Radio/TV,3190,< 100 DM,1 - 4 años,2,Mujer: divorciada/separada/casada,Ninguno,2,Bienes raíces,24,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Mal Pagador
< 0 DM,48,Sin créditos / Todos pagados,Muebles/Equipo,7119,< 100 DM,1 - 4 años,3,Hombre: soltero,Ninguno,4,Desconocido / Sin propiedad,53,Ninguno,Gratis,2,Empleado calificado / oficial,2,No,Sí,Mal Pagador
Sin cuenta,24,Créditos existentes pagados hasta ahora,Auto (usado),3488,100 - 500 DM,4 - 7 años,3,Mujer: divorciada/separada/casada,Ninguno,4,Auto u otro,23,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
0 - 200 DM,18,Créditos existentes pagados hasta ahora,Radio/TV,1113,< 100 DM,1 - 4 años,4,Mujer: divorciada/separada/casada,Garante,4,Bienes raíces,26,Ninguno,Propia,1,No calificado - residente,2,No,Sí,Buen Pagador
0 - 200 DM,26,Créditos existentes pagados hasta ahora,Auto (usado),7966,< 100 DM,< 1 año,2,Hombre: soltero,Ninguno,3,Auto u otro,30,Ninguno,Propia,2,Empleado calificado / oficial,1,No,Sí,Buen Pagador
Sin cuenta,15,Cuenta crítica / Otros créditos,Educación,1532,100 - 500 DM,1 - 4 años,4,Mujer: divorciada/separada/casada,Ninguno,3,Auto u otro,31,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
Sin cuenta,4,Cuenta crítica / Otros créditos,Radio/TV,1503,< 100 DM,4 - 7 años,2,Hombre: soltero,Ninguno,1,Bienes raíces,42,Ninguno,Propia,2,No calificado - residente,2,No,Sí,Buen Pagador
< 0 DM,36,Créditos existentes pagados hasta ahora,Radio/TV,2302,< 100 DM,1 - 4 años,4,Hombre: divorciado/separado,Ninguno,4,Auto u otro,31,Ninguno,Alquiler,1,Empleado calificado / oficial,1,No,Sí,Mal Pagador
< 0 DM,6,Créditos existentes pagados hasta ahora,Auto (nuevo),662,< 100 DM,< 1 año,3,Hombre: soltero,Ninguno,4,Bienes raíces,41,Ninguno,Propia,1,No calificado - residente,2,Sí,Sí,Buen Pagador
0 - 200 DM,36,Créditos existentes pagados hasta ahora,Educación,2273,< 100 DM,4 - 7 años,3,Hombre: soltero,Ninguno,1,Auto u otro,32,Ninguno,Propia,2,Empleado calificado / oficial,2,No,Sí,Buen Pagador
0 - 200 DM,15,Créditos existentes pagados hasta ahora,Auto (nuevo),2631,100 - 500 DM,1 - 4 años,2,Mujer: divorciada/separada/casada,Ninguno,4,Auto u otro,28,Ninguno,Alquiler,2,Empleado calificado / oficial,1,Sí,Sí,Mal Pagador
Sin cuenta,12,Retraso en pagos en el pasado,Auto (usado),1503,< 100 DM,1 - 4 años,4,Hombre: casado/viudo,Ninguno,4,Bienes raíces,41,Ninguno,Alquiler,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
Sin cuenta,24,Créditos existentes pagados hasta ahora,Radio/TV,1311,100 - 500 DM,4 - 7 años,4,Hombre: casado/viudo,Ninguno,3,Seguro de vida / Ahorro para vivienda,26,Ninguno,Propia,1,Empleado calificado / oficial,1,Sí,Sí,Buen Pagador
Sin cuenta,24,Créditos existentes pagados hasta ahora,Radio/TV,3105,Desconocido / Sin ahorros,< 1 año,4,Hombre: soltero,Ninguno,2,Auto u otro,25,Ninguno,Propia,2,Empleado calificado / oficial,1,No,Sí,Buen Pagador
>= 200 DM,21,Cuenta crítica / Otros créditos,Educación,2319,< 100 DM,< 1 año,2,Hombre: divorciado/separado,Ninguno,1,Auto u otro,33,Ninguno,Alquiler,1,Empleado calificado / oficial,1,No,Sí,Mal Pagador
< 0 DM,6,Créditos existentes pagados hasta ahora,Auto (nuevo),1374,Desconocido / Sin ahorros,Desempleado,4,Mujer: divorciada/separada/casada,Ninguno,3,Seguro de vida / Ahorro para vivienda,75,Ninguno,Propia,1,Gerencia / Autoempleado / Altamente calificado,1,Sí,Sí,Buen Pagador
0 - 200 DM,18,Cuenta crítica / Otros créditos,Muebles/Equipo,3612,< 100 DM,>= 7 años,3,Mujer: divorciada/separada/casada,Ninguno,4,Seguro de vida / Ahorro para vivienda,37,Ninguno,Propia,1,Empleado calificado / oficial,1,Sí,Sí,Buen Pagador
< 0 DM,48,Créditos existentes pagados hasta ahora,Auto (nuevo),7763,< 100 DM,>= 7 años,4,Hombre: soltero,Ninguno,4,Desconocido / Sin propiedad,42,Banco,Gratis,1,Gerencia / Autoempleado / Altamente calificado,1,No,Sí,Mal Pagador
>= 200 DM,18,Créditos existentes pagados hasta ahora,Muebles/Equipo,3049,< 100 DM,< 1 año,1,Mujer: divorciada/separada/casada,Ninguno,1,Seguro de vida / Ahorro para vivienda,45,Tiendas,Propia,1,No calificado - residente,1,No,Sí,Buen Pagador
0 - 200 DM,12,Créditos existentes pagados hasta ahora,Radio/TV,1534,< 100 DM,< 1 año,1,Hombre: casado/viudo,Ninguno,1,Bienes raíces,23,Ninguno,Alquiler,1,Empleado calificado / oficial,1,No,Sí,Mal Pagador
Sin cuenta,24,Retraso en pagos en el pasado,Auto (nuevo),2032,< 100 DM,>= 7 años,4,Hombre: soltero,Ninguno,4,Desconocido / Sin propiedad,60,Ninguno,Gratis,2,Empleado calificado / oficial,1,Sí,Sí,Buen Pagador
< 0 DM,30,Créditos existentes pagados hasta ahora,Muebles/Equipo,6350,Desconocido / Sin ahorros,>= 7 años,4,Hombre: soltero,Ninguno,4,Seguro de vida / Ahorro para vivienda,31,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Mal Pagador
>= 200 DM,18,Créditos existentes pagados hasta ahora,Muebles/Equipo,2864,< 100 DM,1 - 4 años,2,Hombre: soltero,Ninguno,1,Bienes raíces,34,Ninguno,Propia,1,No calificado - residente,2,No,Sí,Mal Pagador
Sin cuenta,12,Cuenta crítica / Otros créditos,Auto (nuevo),1255,< 100 DM,>= 7 años,4,Hombre: soltero,Ninguno,4,Bienes raíces,61,Ninguno,Propia,2,No calificado - residente,1,No,Sí,Buen Pagador
< 0 DM,24,Retraso en pagos en el pasado,Auto (nuevo),1333,< 100 DM,Desempleado,4,Hombre: soltero,Ninguno,2,Bienes raíces,43,Ninguno,Gratis,2,Empleado calificado / oficial,2,No,Sí,Mal Pagador
Sin cuenta,24,Cuenta crítica / Otros créditos,Auto (nuevo),2022,< 100 DM,1 - 4 años,4,Mujer: divorciada/separada/casada,Ninguno,4,Auto u otro,37,Ninguno,Propia,1,Empleado calificado / oficial,1,Sí,Sí,Buen Pagador
Sin cuenta,24,Créditos existentes pagados hasta ahora,Radio/TV,1552,< 100 DM,4 - 7 años,3,Hombre: soltero,Ninguno,1,Auto u otro,32,Banco,Propia,1,Empleado calificado / oficial,2,No,Sí,Buen Pagador
< 0 DM,12,Todos los créditos en este banco pagados,Radio/TV,626,< 100 DM,1 - 4 años,4,Mujer: divorciada/separada/casada,Ninguno,4,Bienes raíces,24,Banco,Propia,1,No calificado - residente,1,No,Sí,Mal Pagador
Sin cuenta,48,Cuenta crítica / Otros créditos,Auto (usado),8858,Desconocido / Sin ahorros,4 - 7 años,2,Hombre: soltero,Ninguno,1,Desconocido / Sin propiedad,35,Ninguno,Gratis,2,Empleado calificado / oficial,1,Sí,Sí,Buen Pagador
Sin cuenta,12,Cuenta crítica / Otros créditos,Reparaciones,996,Desconocido / Sin ahorros,4 - 7 años,4,Mujer: divorciada/separada/casada,Ninguno,4,Bienes raíces,23,Ninguno,Propia,2,Empleado calificado / oficial,1,No,Sí,Buen Pagador
Sin cuenta,6,Todos los créditos en este banco pagados,Radio/TV,1750,500 - 1000 DM,>= 7 años,2,Hombre: soltero,Ninguno,4,Seguro de vida / Ahorro para vivienda,45,Banco,Propia,1,No calificado - residente,2,No,Sí,Buen Pagador
< 0 DM,48,Créditos existentes pagados hasta ahora,Radio/TV,6999,< 100 DM,4 - 7 años,1,Hombre: casado/viudo,Garante,1,Bienes raíces,34,Ninguno,Propia,2,Empleado calificado / oficial,1,Sí,Sí,Mal Pagador
0 - 200 DM,12,Cuenta crítica / Otros créditos,Auto (nuevo),1995,100 - 500 DM,< 1 año,4,Hombre: soltero,Ninguno,1,Auto u otro,27,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
0 - 200 DM,9,Créditos existentes pagados hasta ahora,Educación,1199,< 100 DM,4 - 7 años,4,Mujer: divorciada/separada/casada,Ninguno,4,Seguro de vida / Ahorro para vivienda,67,Ninguno,Propia,2,Gerencia / Autoempleado / Altamente calificado,1,Sí,Sí,Buen Pagador
0 - 200 DM,12,Créditos existentes pagados hasta ahora,Radio/TV,1331,< 100 DM,< 1 año,2,Hombre: soltero,Ninguno,1,Auto u otro,22,Tiendas,Propia,1,Empleado calificado / oficial,1,No,Sí,Mal Pagador
0 - 200 DM,18,Sin créditos / Todos pagados,Auto (nuevo),2278,100 - 500 DM,< 1 año,3,Mujer: divorciada/separada/casada,Ninguno,3,Auto u otro,28,Ninguno,Propia,2,Empleado calificado / oficial,1,No,Sí,Mal Pagador
Sin cuenta,21,Sin créditos / Todos pagados,Auto (nuevo),5003,Desconocido / Sin ahorros,1 - 4 años,1,Mujer: divorciada/separada/casada,Ninguno,4,Seguro de vida / Ahorro para vivienda,29,Banco,Propia,2,Empleado calificado / oficial,1,Sí,Sí,Mal Pagador
< 0 DM,24,Todos los créditos en este banco pagados,Muebles/Equipo,3552,< 100 DM,4 - 7 años,3,Hombre: soltero,Ninguno,4,Auto u otro,27,Banco,Propia,1,Empleado calificado / oficial,1,No,Sí,Mal Pagador
0 - 200 DM,18,Cuenta crítica / Otros créditos,Muebles/Equipo,1928,< 100 DM,< 1 año,2,Hombre: soltero,Ninguno,2,Bienes raíces,31,Ninguno,Propia,2,No calificado - residente,1,No,Sí,Mal Pagador
< 0 DM,24,Créditos existentes pagados hasta ahora,Auto (usado),2964,Desconocido / Sin ahorros,>= 7 años,4,Hombre: soltero,Ninguno,4,Desconocido / Sin propiedad,49,Banco,Gratis,1,Empleado calificado / oficial,2,Sí,Sí,Buen Pagador
< 0 DM,24,Todos los créditos en este banco pagados,Radio/TV,1546,< 100 DM,4 - 7 años,4,Hombre: soltero,Garante,4,Auto u otro,24,Banco,Alquiler,1,No calificado - residente,1,No,Sí,Mal Pagador
>= 200 DM,6,Retraso en pagos en el pasado,Radio/TV,683,< 100 DM,< 1 año,2,Mujer: divorciada/separada/casada,Ninguno,1,Seguro de vida / Ahorro para vivienda,29,Banco,Propia,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
0 - 200 DM,36,Créditos existentes pagados hasta ahora,Auto (nuevo),12389,Desconocido / Sin ahorros,1 - 4 años,1,Hombre: soltero,Ninguno,4,Desconocido / Sin propiedad,37,Ninguno,Gratis,1,Empleado calificado / oficial,1,Sí,Sí,Mal Pagador
0 - 200 DM,24,Retraso en pagos en el pasado,Negocios,4712,Desconocido / Sin ahorros,1 - 4 años,4,Hombre: soltero,Ninguno,2,Seguro de vida / Ahorro para vivienda,37,Banco,Propia,2,Gerencia / Autoempleado / Altamente calificado,1,Sí,Sí,Buen Pagador
0 - 200 DM,24,Retraso en pagos en el pasado,Radio/TV,1553,100 - 500 DM,4 - 7 años,3,Mujer: divorciada/separada/casada,Ninguno,2,Seguro de vida / Ahorro para vivienda,23,Ninguno,Alquiler,2,Empleado calificado / oficial,1,Sí,Sí,Buen Pagador
< 0 DM,12,Créditos existentes pagados hasta ahora,Auto (nuevo),1372,< 100 DM,4 - 7 años,2,Hombre: divorciado/separado,Ninguno,3,Auto u otro,36,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Mal Pagador
Sin cuenta,24,Cuenta crítica / Otros créditos,Radio/TV,2578,>= 1000 DM,>= 7 años,2,Hombre: soltero,Ninguno,2,Auto u otro,34,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
0 - 200 DM,48,Créditos existentes pagados hasta ahora,Radio/TV,3979,Desconocido / Sin ahorros,4 - 7 años,4,Hombre: soltero,Ninguno,1,Auto u otro,41,Ninguno,Propia,2,Empleado calificado / oficial,2,Sí,Sí,Buen Pagador
< 0 DM,48,Créditos existentes pagados hasta ahora,Radio/TV,6758,< 100 DM,1 - 4 años,3,Mujer: divorciada/separada/casada,Ninguno,2,Auto u otro,31,Ninguno,Propia,1,Empleado calificado / oficial,1,Sí,Sí,Mal Pagador
< 0 DM,24,Créditos existentes pagados hasta ahora,Muebles/Equipo,3234,< 100 DM,< 1 año,4,Mujer: divorciada/separada/casada,Ninguno,4,Bienes raíces,23,Ninguno,Alquiler,1,No calificado - residente,1,Sí,Sí,Mal Pagador
Sin cuenta,30,Cuenta crítica / Otros créditos,Radio/TV,5954,< 100 DM,4 - 7 años,3,Hombre: soltero,Co-solicitante,2,Auto u otro,38,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
Sin cuenta,24,Créditos existentes pagados hasta ahora,Auto (usado),5433,Desconocido / Sin ahorros,Desempleado,2,Mujer: divorciada/separada/casada,Ninguno,4,Seguro de vida / Ahorro para vivienda,26,Ninguno,Alquiler,1,Gerencia / Autoempleado / Altamente calificado,1,Sí,Sí,Buen Pagador
< 0 DM,15,Créditos existentes pagados hasta ahora,Negocios,806,< 100 DM,1 - 4 años,4,Mujer: divorciada/separada/casada,Ninguno,4,Seguro de vida / Ahorro para vivienda,22,Ninguno,Propia,1,No calificado - residente,1,No,Sí,Buen Pagador
0 - 200 DM,9,Créditos existentes pagados hasta ahora,Radio/TV,1082,< 100 DM,>= 7 años,4,Hombre: soltero,Ninguno,4,Auto u otro,27,Ninguno,Propia,2,No calificado - residente,1,No,Sí,Buen Pagador
Sin cuenta,15,Cuenta crítica / Otros créditos,Muebles/Equipo,2788,< 100 DM,4 - 7 años,2,Mujer: divorciada/separada/casada,Co-solicitante,3,Auto u otro,24,Banco,Propia,2,Empleado calificado / oficial,1,No,Sí,Buen Pagador
0 - 200 DM,12,Créditos existentes pagados hasta ahora,Radio/TV,2930,< 100 DM,4 - 7 años,2,Mujer: divorciada/separada/casada,Ninguno,1,Bienes raíces,27,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
Sin cuenta,24,Cuenta crítica / Otros créditos,Educación,1927,Desconocido / Sin ahorros,1 - 4 años,3,Mujer: divorciada/separada/casada,Ninguno,2,Auto u otro,33,Ninguno,Propia,2,Empleado calificado / oficial,1,Sí,Sí,Buen Pagador
0 - 200 DM,36,Cuenta crítica / Otros créditos,Auto (nuevo),2820,< 100 DM,< 1 año,4,Hombre: divorciado/separado,Ninguno,4,Auto u otro,27,Ninguno,Propia,2,Empleado calificado / oficial,1,No,Sí,Mal Pagador
Sin cuenta,24,Créditos existentes pagados hasta ahora,Recapacitación,937,< 100 DM,< 1 año,4,Hombre: casado/viudo,Ninguno,3,Auto u otro,27,Ninguno,Propia,2,No calificado - residente,1,No,Sí,Buen Pagador
0 - 200 DM,18,Cuenta crítica / Otros créditos,Auto (nuevo),1056,< 100 DM,>= 7 años,3,Hombre: soltero,Garante,3,Bienes raíces,30,Banco,Propia,2,Empleado calificado / oficial,1,No,Sí,Mal Pagador
0 - 200 DM,12,Cuenta crítica / Otros créditos,Auto (nuevo),3124,< 100 DM,< 1 año,1,Hombre: soltero,Ninguno,3,Bienes raíces,49,Banco,Propia,2,No calificado - residente,2,No,Sí,Buen Pagador
Sin cuenta,9,Créditos existentes pagados hasta ahora,Muebles/Equipo,1388,< 100 DM,1 - 4 años,4,Mujer: divorciada/separada/casada,Ninguno,2,Bienes raíces,26,Ninguno,Alquiler,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
0 - 200 DM,36,Créditos existentes pagados hasta ahora,Reparaciones,2384,< 100 DM,< 1 año,4,Hombre: soltero,Ninguno,1,Desconocido / Sin propiedad,33,Ninguno,Alquiler,1,No calificado - residente,1,No,Sí,Mal Pagador
Sin cuenta,12,Créditos existentes pagados hasta ahora,Auto (nuevo),2133,Desconocido / Sin ahorros,>= 7 años,4,Mujer: divorciada/separada/casada,Ninguno,4,Desconocido / Sin propiedad,52,Ninguno,Gratis,1,Gerencia / Autoempleado / Altamente calificado,1,Sí,Sí,Buen Pagador
< 0 DM,18,Créditos existentes pagados hasta ahora,Muebles/Equipo,2039,< 100 DM,1 - 4 años,1,Mujer: divorciada/separada/casada,Ninguno,4,Bienes raíces,20,Banco,Alquiler,1,Empleado calificado / oficial,1,No,Sí,Mal Pagador
< 0 DM,9,Cuenta crítica / Otros créditos,Auto (nuevo),2799,< 100 DM,1 - 4 años,2,Hombre: soltero,Ninguno,2,Bienes raíces,36,Ninguno,Alquiler,2,Empleado calificado / oficial,2,No,Sí,Buen Pagador
< 0 DM,12,Créditos existentes pagados hasta ahora,Muebles/Equipo,1289,< 100 DM,1 - 4 años,4,Hombre: soltero,Garante,1,Seguro de vida / Ahorro para vivienda,21,Ninguno,Propia,1,No calificado - residente,1,No,Sí,Buen Pagador
< 0 DM,18,Créditos existentes pagados hasta ahora,Electrodomésticos,1217,< 100 DM,1 - 4 años,4,Hombre: casado/viudo,Ninguno,3,Bienes raíces,47,Ninguno,Propia,1,No calificado - residente,1,Sí,Sí,Mal Pagador
< 0 DM,12,Cuenta crítica / Otros créditos,Muebles/Equipo,2246,< 100 DM,>= 7 años,3,Hombre: soltero,Ninguno,3,Seguro de vida / Ahorro para vivienda,60,Ninguno,Propia,2,Empleado calificado / oficial,1,No,Sí,Mal Pagador
< 0 DM,12,Cuenta crítica / Otros créditos,Radio/TV,385,< 100 DM,4 - 7 años,4,Mujer: divorciada/separada/casada,Ninguno,3,Bienes raíces,58,Ninguno,Propia,4,No calificado - residente,1,Sí,Sí,Buen Pagador
0 - 200 DM,24,Retraso en pagos en el pasado,Auto (nuevo),1965,Desconocido / Sin ahorros,1 - 4 años,4,Mujer: divorciada/separada/casada,Ninguno,4,Auto u otro,42,Ninguno,Alquiler,2,Empleado calificado / oficial,1,Sí,Sí,Buen Pagador
Sin cuenta,21,Créditos existentes pagados hasta ahora,Negocios,1572,>= 1000 DM,>= 7 años,4,Mujer: divorciada/separada/casada,Ninguno,4,Bienes raíces,36,Banco,Propia,1,No calificado - residente,1,No,Sí,Buen Pagador
0 - 200 DM,24,Créditos existentes pagados hasta ahora,Auto (nuevo),2718,< 100 DM,1 - 4 años,3,Mujer: divorciada/separada/casada,Ninguno,4,Seguro de vida / Ahorro para vivienda,20,Ninguno,Alquiler,1,No calificado - residente,1,Sí,Sí,Mal Pagador
< 0 DM,24,Todos los créditos en este banco pagados,Otros,1358,Desconocido / Sin ahorros,>= 7 años,4,Hombre: soltero,Ninguno,3,Auto u otro,40,Tiendas,Propia,1,Gerencia / Autoempleado / Altamente calificado,1,Sí,Sí,Mal Pagador
0 - 200 DM,6,Todos los créditos en este banco pagados,Auto (nuevo),931,100 - 500 DM,< 1 año,1,Mujer: divorciada/separada/casada,Ninguno,1,Seguro de vida / Ahorro para vivienda,32,Tiendas,Propia,1,No calificado - residente,1,No,Sí,Mal Pagador
< 0 DM,24,Créditos existentes pagados hasta ahora,Auto (nuevo),1442,< 100 DM,4 - 7 años,4,Mujer: divorciada/separada/casada,Ninguno,4,Auto u otro,23,Ninguno,Alquiler,2,Empleado calificado / oficial,1,No,Sí,Mal Pagador
0 - 200 DM,24,Sin créditos / Todos pagados,Negocios,4241,< 100 DM,1 - 4 años,1,Hombre: soltero,Ninguno,4,Bienes raíces,36,Ninguno,Propia,3,No calificado - residente,1,Sí,Sí,Mal Pagador
Sin cuenta,18,Cuenta crítica / Otros créditos,Auto (nuevo),2775,< 100 DM,4 - 7 años,2,Hombre: soltero,Ninguno,2,Seguro de vida / Ahorro para vivienda,31,Banco,Propia,2,Empleado calificado / oficial,1,No,Sí,Mal Pagador
Sin cuenta,24,Retraso en pagos en el pasado,Negocios,3863,< 100 DM,1 - 4 años,1,Hombre: soltero,Ninguno,2,Desconocido / Sin propiedad,32,Ninguno,Gratis,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
0 - 200 DM,7,Créditos existentes pagados hasta ahora,Radio/TV,2329,< 100 DM,< 1 año,1,Mujer: divorciada/separada/casada,Garante,1,Bienes raíces,45,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
0 - 200 DM,9,Créditos existentes pagados hasta ahora,Muebles/Equipo,918,< 100 DM,1 - 4 años,4,Mujer: divorciada/separada/casada,Ninguno,1,Seguro de vida / Ahorro para vivienda,30,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Mal Pagador
0 - 200 DM,24,Todos los créditos en este banco pagados,Educación,1837,< 100 DM,4 - 7 años,4,Mujer: divorciada/separada/casada,Ninguno,4,Desconocido / Sin propiedad,34,Banco,Gratis,1,No calificado - residente,1,No,Sí,Mal Pagador
Sin cuenta,36,Créditos existentes pagados hasta ahora,Muebles/Equipo,3349,< 100 DM,1 - 4 años,4,Mujer: divorciada/separada/casada,Ninguno,2,Auto u otro,28,Ninguno,Propia,1,Gerencia / Autoempleado / Altamente calificado,1,Sí,Sí,Mal Pagador
>= 200 DM,10,Créditos existentes pagados hasta ahora,Muebles/Equipo,1275,< 100 DM,< 1 año,4,Mujer: divorciada/separada/casada,Ninguno,2,Seguro de vida / Ahorro para vivienda,23,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
< 0 DM,24,Todos los créditos en este banco pagados,Muebles/Equipo,2828,500 - 1000 DM,1 - 4 años,4,Hombre: soltero,Ninguno,4,Bienes raíces,22,Tiendas,Propia,1,Empleado calificado / oficial,1,Sí,Sí,Buen Pagador
Sin cuenta,24,Cuenta crítica / Otros créditos,Negocios,4526,< 100 DM,1 - 4 años,3,Hombre: soltero,Ninguno,2,Bienes raíces,74,Ninguno,Propia,1,Gerencia / Autoempleado / Altamente calificado,1,Sí,Sí,Buen Pagador
0 - 200 DM,36,Créditos existentes pagados hasta ahora,Radio/TV,2671,100 - 500 DM,1 - 4 años,4,Mujer: divorciada/separada/casada,Co-solicitante,4,Desconocido / Sin propiedad,50,Ninguno,Gratis,1,Empleado calificado / oficial,1,No,Sí,Mal Pagador
Sin cuenta,18,Créditos existentes pagados hasta ahora,Radio/TV,2051,< 100 DM,< 1 año,4,Hombre: soltero,Ninguno,1,Bienes raíces,33,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
Sin cuenta,15,Créditos existentes pagados hasta ahora,Auto (usado),1300,Desconocido / Sin ahorros,>= 7 años,4,Hombre: soltero,Ninguno,4,Desconocido / Sin propiedad,45,Banco,Gratis,1,Empleado calificado / oficial,2,No,Sí,Buen Pagador
< 0 DM,12,Créditos existentes pagados hasta ahora,Electrodomésticos,741,100 - 500 DM,Desempleado,4,Mujer: divorciada/separada/casada,Ninguno,3,Seguro de vida / Ahorro para vivienda,22,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Mal Pagador
>= 200 DM,10,Créditos existentes pagados hasta ahora,Auto (nuevo),1240,100 - 500 DM,>= 7 años,1,Mujer: divorciada/separada/casada,Ninguno,4,Desconocido / Sin propiedad,48,Ninguno,Gratis,1,No calificado - residente,2,No,Sí,Mal Pagador
< 0 DM,21,Créditos existentes pagados hasta ahora,Radio/TV,3357,>= 1000 DM,< 1 año,4,Mujer: divorciada/separada/casada,Ninguno,2,Auto u otro,29,Banco,Propia,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
< 0 DM,24,Todos los créditos en este banco pagados,Auto (usado),3632,< 100 DM,1 - 4 años,1,Mujer: divorciada/separada/casada,Garante,4,Auto u otro,22,Banco,Alquiler,1,Empleado calificado / oficial,1,No,No,Buen Pagador
Sin cuenta,18,Retraso en pagos en el pasado,Muebles/Equipo,1808,< 100 DM,4 - 7 años,4,Mujer: divorciada/separada/casada,Ninguno,1,Bienes raíces,22,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Mal Pagador
0 - 200 DM,48,Sin créditos / Todos pagados,Negocios,12204,Desconocido / Sin ahorros,1 - 4 años,2,Hombre: soltero,Ninguno,2,Auto u otro,48,Banco,Propia,1,Gerencia / Autoempleado / Altamente calificado,1,Sí,Sí,Buen Pagador
0 - 200 DM,60,Retraso en pagos en el pasado,Radio/TV,9157,Desconocido / Sin ahorros,1 - 4 años,2,Hombre: soltero,Ninguno,2,Desconocido / Sin propiedad,27,Ninguno,Gratis,1,Gerencia / Autoempleado / Altamente calificado,1,No,Sí,Buen Pagador
< 0 DM,6,Cuenta crítica / Otros créditos,Auto (nuevo),3676,< 100 DM,1 - 4 años,1,Hombre: soltero,Ninguno,3,Bienes raíces,37,Ninguno,Alquiler,3,Empleado calificado / oficial,2,No,Sí,Buen Pagador
0 - 200 DM,30,Créditos existentes pagados hasta ahora,Muebles/Equipo,3441,100 - 500 DM,1 - 4 años,2,Mujer: divorciada/separada/casada,Co-solicitante,4,Auto u otro,21,Ninguno,Alquiler,1,Empleado calificado / oficial,1,No,Sí,Mal Pagador
Sin cuenta,12,Créditos existentes pagados hasta ahora,Auto (nuevo),640,< 100 DM,1 - 4 años,4,Hombre: divorciado/separado,Ninguno,2,Bienes raíces,49,Ninguno,Propia,1,No calificado - residente,1,No,Sí,Buen Pagador
0 - 200 DM,21,Cuenta crítica / Otros créditos,Negocios,3652,< 100 DM,4 - 7 años,2,Hombre: soltero,Ninguno,3,Seguro de vida / Ahorro para vivienda,27,Ninguno,Propia,2,Empleado calificado / oficial,1,No,Sí,Buen Pagador
Sin cuenta,18,Cuenta crítica / Otros créditos,Auto (nuevo),1530,< 100 DM,1 - 4 años,3,Hombre: soltero,Ninguno,2,Seguro de vida / Ahorro para vivienda,32,Banco,Propia,2,Empleado calificado / oficial,1,No,Sí,Mal Pagador
Sin cuenta,48,Créditos existentes pagados hasta ahora,Negocios,3914,Desconocido / Sin ahorros,1 - 4 años,4,Hombre: divorciado/separado,Ninguno,2,Bienes raíces,38,Banco,Propia,1,Empleado calificado / oficial,1,No,Sí,Mal Pagador
